id,text,klass,humor_rating,humor_mechanism
tweet72,"Jajajajajajaja xque todos me contestan ese motivo, tan obvio es todo (?😂😂😂😂",no-joke,,
tweet73,"El amor crea tensiones, el sexo las relaja.@lunatica_hot #DALERT #sigueytesigo",no-joke,,
tweet74,Teníamos una farmacia pero la cerramos porque no teníamos mas remedio. #fb,joke,3.3333,wordplay
tweet75,Miami ..refugio de los corruptos..,no-joke,,
tweet76,House on Fire es una volada de wig que flipas. @ Alemania !!!!!!!,no-joke,,
tweet77,"—Lo que pasa en Las Vegas, se queda en Las Vegas.
—Nunca hemos estado en Las Vegas.
—Esa es la actitud.",joke,3.5,
tweet78,"Lo bien disfrutado, jamás será olvidado.",no-joke,,
tweet79,"""Para ser feliz, hay que tener mala memoria.""",no-joke,,
tweet80,"#chiste ‎- ‎-¿Eres tartamudo?
No, no , no , no, pe, pen, pendejo. Hablo en remix #chistes RT.",joke,2.333333333333333,
tweet81,Pasa una mujer y jaimito le dice: oye te dolio? -Que cosa? -Cuando te caiste del cielo! -Ay q lindo -Noo es q te quedo la cara vuelta mierd@,joke,1.8,insults
tweet82,Ayer no te hacía en mi vida y hoy me deshaces sonriendo.,no-joke,,
tweet83,Error lo más peligroso de la costa es salir a correr y encontrar a @NAlejandraM  y su comitiva jaja,no-joke,,
tweet84,¿Tu? ¿Gustarme? JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JA JÁ Tengo que disimular un poco mas.,joke,1.75,unmasking
tweet85,Rt con el pollo asado  #PremiosFenix,no-joke,,
tweet86,"Estaba viendo Netflix tranquilamente, hasta que recordé todo lo que tengo por hacer, ahora estoy viendo Netflix estresadamente.",joke,2.75,unmasking
tweet87,C cayó q la verga la plataforma de amino :v,no-joke,,
tweet88,"Atlético vs Real Madrid.

Guarden este comentario.",no-joke,,
tweet89,El mazapán absorbe el alcohol? Sean serios es para una tarea.,no-joke,,
tweet90,"Mi amor, si me dejas me mato... Me mato una vaca, un chancho, 10 gallinas, compro 3 cajas de cerveza y hago una fiesta!",joke,2.75,
tweet91,despertarse con estos sentimientos de felicidad y de tristeza porque ya se acerca el momento.,no-joke,,
tweet92,"— ¡Mamá Mamá! ¿la luz se traga?.
— No ¿por qué?. 
— Es que mi Papá le está diciendo a la sirvienta ""apaga la luz y trágatela toda"".",joke,2.2,
tweet93,Cuando estoy gritando en mi mente mando mensajes de whatsapp en negrita.,no-joke,,
tweet94,"La mujer de tu vida no la vas a encontrar un sábado a las 3 a.m, perreando en una discoteca.",no-joke,,
tweet95,"Cada vez que estoy pasando por momentos difíciles me pregunto ""¿Qué haría Jesús en ésta situación?"" Después me acuesto y me duermo tres días",joke,2.6,irony
tweet96,"el pecado que cometió lamujer en el paraíso debio pagar con sangre, Dios fue bondadoso y le permitió que le pagaran en cómodas cuotas pormes",joke,1.25,
tweet97,"- El otro día ví a tu suegra y .....
- ¡Alto ahí! se dice ""madre política""
- Pero si la política es una mierda.
-...",joke,1.25,wordplay
tweet98,"#Chiste Te amo
- ¿En serio? Que casualidad!
- ¿Por qué? -Porque Yo También Me Amo ♡  #chistes RT.",joke,2.0,absurd
tweet99,"Escuchar reggaetón 

ES DE POBRES",no-joke,,
tweet100,Que pena que cuando me vengas a buscar ya no esté 🤷🏼‍♂️,no-joke,,
tweet101,"Si yo fuera presidente haria pintar la casa de gobierno de celeste , porque soy varon  #chistes #humor",joke,1.5,stereotype
tweet102,"Hijo, Eres Gay?
- No Papá, Yo Soy Una Princesa! #XD #JAJAJA #RT",joke,1.75,
tweet103,"Yo voy por la vida intentando no lastimar a nadie con mis acciones, mientras que las personas conmigo hasta pareciera que lo hacen con ganas",no-joke,,
tweet104,"Ésta cuenta tiene altos estándares de calidad, si algún tuit no es de su agrado, inmediatamente nos robamos otro.",joke,1.6667,
tweet105,Dos carpinteros entablando una conversación...,joke,3.25,
tweet106,"¿Tenés un mapa? -DE QUÉ? -De tus ojos, porque si no me pierdo en tu mirada - AYYY EN SERIO? -Naa era mentira, físico-político de América #XD",joke,1.25,
tweet107,"—¡A UNA MUJER JAMÁS SE LE LEVANTA LA MANO!
—Pero maestra, dijo que si teníamos dudas levantáram...
—MALDITO CERDO OPRESOR ¡VIVA LA PANOCHA!",joke,1.6,exaggeration
tweet108,Mirar a mi mami y decir lo logramos.,no-joke,,
tweet109,Veo rubios por todo Santiago,no-joke,,
tweet110,Típico: Que en tu casa haya una bolsa con más bolsas dentro de ella.,no-joke,,
tweet111,"11 pm: Jóvenes, una cervecita cortesía de la casa, provecho.

3 am: Ya vamos a cerrar jóvenes, a chingar a su madre, por favor.",no-joke,,
tweet112,"Si una mujer te dice: ""Dime la verdad"" huye sin mirar atrás, porque ya sabe la sabe.",no-joke,,
tweet113,"—¡¡HIJO TE COMPRE BOLETOS PARA LA PELÍCULA DEL CAPITÁN MARICA!! 

—JAJAJAJÁ es “Capitán América”, abuelo.",joke,1.4,misunderstanding
tweet114,"""Dejen de inventar frases que yo no dije, putos."" —Bob Marley.",joke,2.6,absurd
tweet115,"Yo soy Jairo,  y me banqué la dentadura #Correctivo",no-joke,,
tweet116,"No se que dura menos, si la bateria de mi celular o yo estudiando.",joke,1.75,analogy
tweet117,"La gente no cambia, se comporta bien cuando quiere conseguir algo.",no-joke,,
tweet118,Ojalá no se les cante hacer nada a estos pendejos mientras me voy a entrenar  #BestSoloBreakout #LouisTomlinson #iHeartAwards,no-joke,,
tweet119,"Que te caigo mal? bueno, saca turno, toma asiento y espera a que me importe #XD",no-joke,,
tweet120,"Lo bueno de tomar pastillas para dormir, es que no sientes los temblores!!",no-joke,,
tweet121,"No puedes cambiar el pasado, pero con la actitud correcta, podrás recuperar en el futuro más de lo que perdiste en el pasado.",no-joke,,
tweet122,Estar despierto toda la noche…lamentarlo toda la mañana…y volver hacerlo de nuevo el próximo día xD,no-joke,,
tweet123,En cualquier momento lo bloqueo 💆🏻‍♀️🙅🏻‍♀️,no-joke,,
tweet124,"Doctor, ¿cuanto me queda de vida? - Diez... - Diez qué? - Diez, nueve, ocho, siete... #humortico",joke,3.25,exaggeration
tweet125,"¿Cupido qué onda? 

¿Te hiciste un jugo con mi media naranja?",joke,2.4,
tweet126,"La vida es así, un día perdemos, al otro dejamos escapar la victoria en el último minuto.",no-joke,,
tweet127,1er acto Muere 1 espermatozoide 2do acto Mueren 100 espermatozoides 3er acto Mueren 1000 espermatozoides¿Como se llama la obra?El Sementerio,joke,2.0,wordplay
tweet128,"Güey tengo un nombre bien chido, aprende a pronunciarlo a la verga",no-joke,,
tweet129,No pidas a Dios que haga lo que tu quieres. Pídele que haga lo que sea correcto. -Max Lucado #Retuitealo,no-joke,,
tweet130,"—Tengo el nombre más corto del mundo, me llamo O.
—El mío es más corto, me llamo Casio.
—Yo les gano, me llamo Nicasio.",joke,2.4,
tweet131,"No eres tú, soy yo, abre por favor...",no-joke,,
tweet132,"—Mamá, ¿has visto la marihuana que tenía en mi cuarto? —No hijo, estoy en la cocina espantando unicornios para que no se paren en la comida.",joke,2.5,unmasking
tweet133,"—Mijo, ¿tan grande y todavía sigues viendo a Peppa la cerda?

—¡MAMÁ ESTOY HABLANDO CON MI NOVIA POR SKYPE!

—JAJA DILE QUE SALTE EN EL LODO",joke,1.8,embarrassment
tweet134,"La frase ""No eres tu, soy yo"" viene del latín ""Me Gusta Alguien Más""",joke,2.125,irony
tweet135,"— ¿Aquí es la reunión para personas impuntuales? — Ops, fue ayer.",joke,2.6,exaggeration
tweet136,leí esto y me dejo maquineando la cabeza x1000 horas maso,no-joke,,
tweet137,Pasa cupido y me dice: OLEEEEEEEE,joke,1.8,absurd
tweet138,De las personas falsas yo solo quiero una cosa: ¡Distancia!,no-joke,,
tweet139,"Si mi celular fuera tan inteligente como dicen, pondría un mini-paracaídas antes de caerse al suelo.",joke,2.4545454545454546,absurd
tweet140,Send nudes para saber si llegaste bien a tu casa.,joke,1.6667,
tweet141,"Si tu ex ya anda con otro y todavía putea contigo seguramente hacía lo mismo cuando estaban juntos, la putería a veces da y a veces quita.",no-joke,,
tweet142,Que pasa con el wifi y el cable @TeleCentroAr desde el viernes estamos con problemas.,no-joke,,
tweet143,"Que hermosos son esos 5 segundos en los que te levantas y no sabes ni quién eres, ni cómo te llamas, ni cuáles son tus problemas.",no-joke,,
tweet144,Me hablo el pibe q transpiraba como un hdp en la playa el otro dia porq le pedia q ni se me acerque  y me dice nunca me cuide tanto para no👉,no-joke,,
tweet145,"Samuel me puso ""te extraño""marcar como mensaje destacado⭐",no-joke,,
tweet146,"Soy muy caluroso, casi que sufro de calor muchas veces pero AMO el verano. Soy el masoquismo en su más puro estado",no-joke,,
tweet147,Ir al telo es muy de que vivís con tus viejos o sos casado y papá de 76.,no-joke,,
tweet148,"Fui a McDonalds y el cajero me preguntó ""¿Le pongo salsa?"", dije que sí y nos pusimos a bailar mientras la gente aplaudía. Fue precioso.",joke,2.2,unmasking
tweet149,"""Amiga"" —¿Qué te pasa? —Nada —Ok ""Mejor Amiga"" —¿Qué te pasa? —Nada —¿Qué te pasa pendeja, te conozco más que nadie y sé que tienes algo.",no-joke,,
tweet150,"Ni nacimos para estar solos, ni nacimos para estar con cualquiera.",no-joke,,
tweet151,"Esposo: Tengo algo que decirte. Esposa:  ¡Yo también, digámoslo a la cuenta de 3... 1, 2 y 3! - ESTOY EMBARAZADA! - SOY ESTERIL!",joke,1.2,
tweet152,Te verías mejor conmigo en tu foto de perfil. 😉,no-joke,,
tweet153,"Sos tan linda.
Ni parece 
que en cualquier
momento 
me vas a 
cagar la 
VIDA.",no-joke,,
tweet154,Mi Espalda Me Quiere Matarrrrrrr😭😭,no-joke,,
tweet155,"No es por presumir, pero soy buenísimo en la cama... ¡Puedo durar horas y horas durmiendo!",joke,2.5,
tweet156,Algún día les voy a contar del Boludo que desayuna café con empanadas. Ahora no porque me cago encima. Me cayó mal el café con empanadas.,joke,1.6,unmasking
tweet157,"No entiendo qué les cuesta a las personas escribir como se debe, ¿es que se les queman medias neuronas por hacerlo?",no-joke,,
tweet158,"El te negro ayuda a bajar de peso, 
el te de limón cura la gripe y 
el ""te vas a la mierda"", alivia el estrés.",joke,1.6,
tweet159,Le voy a terminar comiendo todos los bombones a mami jajaja,no-joke,,
tweet160,"El 99% de las personas q abren Twitter, lo dejan por un tiempo porque no le entienden, después regresan y se vuelven adictos. RT si te pasó.",no-joke,,
tweet161,-Mamá - ¿Qué? - ¡Te quiero mucho! -¡No tengo dinero!.,joke,1.8,
tweet162,ya no quiero sufrir mas,no-joke,,
tweet163,Es mejor callar y que piensen que eres un idiota a hablar y demostrarlo.,no-joke,,
tweet164,JAJAJAJAJA SE VOLVIÓ A ESCAPAR EL CHAPO JAJAJAAJ,no-joke,,
tweet165,Mas contenta que suegra estudiando brujería! xD,joke,1.75,
tweet166,@Nosotros_ok hagan callar a esa ignorante Deja de ser personaje para hacerlos quedar mal!,no-joke,,
tweet167,Nada es tan estúpido como vencer. La verdadera gloria está en convencer. Victor Hugo #Retuitealo,no-joke,,
tweet168,"¡Tengo que estudiar!, debo estudiar, debo estutir, debo stutwi, debo eswitear, debo stwitear, debo twitear... Sí ¡Debo twittear!",joke,2.25,
tweet169,"—Uy ¿Quién pidió pollo?
—Señor, deje de hacerse el pendejo y pagueme el domicilio!",joke,1.0,
tweet170,"No se si estamos como deberiamos de estar, pero todavía no estamos como queremos.",no-joke,,
tweet171,Me voy acercando al que quería ser y no al qué querían que fuera. Y de eso se trata todo.,no-joke,,
tweet172,Que rápido se ha pasado el tiempo.⏳,no-joke,,
tweet173,Has Has Has Has Has Has Has Has Has,no-joke,,
tweet174,siempre hay un sótano más en mi grado de responsabilidad,no-joke,,
tweet175,"Que bien que la hicimos con ca ayer , cerrabamos el ogt y ignorabamos",no-joke,,
tweet176,Mira si tan solo con la versión de amar pelos dois ya he muerto wiggggggg,no-joke,,
tweet177,"LIKE si tienes frío en las 🚔 🚔

JAJAJAJAJA",no-joke,,
tweet178,Bue taan poco me aguantan 🙄,no-joke,,
tweet179,Muerte a las calienta huevos y a las clases de 6:30 de la mañana,no-joke,,
tweet180,La vida da tantas vueltas,no-joke,,
tweet181,Cuando será el día que cumpla mi promesa de dormir temprano.,no-joke,,
tweet182,"Oye, ¿A ti te resulta difícil tomar decisiones? -Mmmm, sí y no.",joke,2.357142857142857,absurd
tweet183,"—Puta.
—¡¿QUEEÉ DIJISTE?!
—Puta sorda.",joke,2.6667,insults
tweet184,"No sé a qué le tengo más miedo; si a volver a verte, o a no verte de nuevo.",no-joke,,
tweet185,Mi sobrino es un meme gracias a Leslie LKM,no-joke,,
tweet186,la gente perdida se deberian tatuar brujulas guau,joke,1.6667,
tweet187,"Jesús te ama, tu ex no.",joke,2.75,embarrassment
tweet188,Tengo que quererlo mucho como para venir a este colegio de mierda,no-joke,,
tweet189,"Por los que peleamos con alguien, solo porque nos divierte como se enoja.. :)",no-joke,,
tweet190,"Dios inventó las letras, el diablo los números, #YDijoElKarma vamos a combinarlos y así fue como nació el Algebra.",joke,1.25,
tweet191,gente q dice que no tienen muchos amigos en fb y salen asi خون دمار از روزگارمان درآورد,no-joke,,
tweet192,"*en el mundo espiritual,quien busca lo q no entiende,encuentra lo q no quiere*#GretchenCuotes",no-joke,,
tweet193,Pos donde están #CombateMx,no-joke,,
tweet194,Lastima que no me ves,no-joke,,
tweet195,Acá en Chihuahua ya se alcanza a ver medio muro,no-joke,,
tweet196,"El primer beso es mágico, el segundo íntimo, el tercero rutina",no-joke,,
tweet197,Extrañaba el follow paja.,no-joke,,
tweet198,¡Maldita distancia! ¿Por qué el enchufe del cargador está tan lejos de mi cama? :(,joke,2.2,
tweet199,"Vamos a ver si Las SANSE...terminan SIN incidentes violentos o bochornosos,ect... VAMOS A COLABORAR!!!",no-joke,,
tweet200,"—Hijo, Feliz navidad —Mamá, sabes que no me gusta la navidad —Ah, ¿Entonces qué hago con este iPhone 5s? —Belén, campanas de belén.",joke,1.6428571428571428,
tweet201,"Danos hoy el tweet de cada día
Perdona nuestros Unfollows",joke,1.0,parody
tweet202,@Aitana_ot2017 yo para seguir viviendo necesito saber si eres de tortilla con cebolla o sin!!!,no-joke,,
tweet203,-Ayer hice el amor con 3 americanas! -Si? vaya... y que tal? -Me las tuve que quitar... un calor... #fb,joke,3.0,wordplay
tweet204,"Eres una droga natural, de tu dosis yo quiero probar...🎶",no-joke,,
tweet205,A veces me pregunto si @APOLONIAPORN se masturba pensando en ella misma.?,no-joke,,
tweet206,?*•~•-?(EL Divo00 d3 Tw1tTeR!)??dArT3 uN BezO dE* ?D3zAYuNo pA iRnOs vOLaNdo ?asTah n3ptUn0?-•~•*?Ha iniciado sesión,no-joke,,
tweet207,"PÉSIMO SERVICIO EL DE USTEDES @Aeromexico 👎
#AEROMÉXICOTIENEPÉSIMOSERVICIO",no-joke,,
tweet208,Es inútil explicar cuando el otro decidió no entender.,no-joke,,
tweet209,"Nehemías 8:10 ..."" no os entristezcáis, porque el gozo de Jehová es vuestra fuerza.""",no-joke,,
tweet210,La buena y la mala del día. La buena es q salió un viaje a mar del plata y la mala es q me lo quieren pagar con un franco. 😣😤😟,no-joke,,
tweet211,Amigo @EPN urge que filtres nudes de la Gaviota para olvidar esta tragedia,no-joke,,
tweet212,"Yo soy como José José, no canto pero me encanta ponerme hasta el culo de pedo.",no-joke,,
tweet213,Los truenossss❤❤. Me falta un chocolate y tamo 👌,no-joke,,
tweet214,Intento De Princesa Abusas De Tu Belleza..,no-joke,,
tweet215,"""سوف يكون جالو جالو ش جدا ولكن الدجاجة هي البيض",no-joke,,
tweet216,"— AaMhigha NoO mMe AhH BaJAaDoO LaA RrEegLA - 

— Ah ok, pues ya tienes dos retrasos.",joke,1.75,
tweet217,"Al final no vamos a saber de quien es el hijo del Arsenal que nacerá en unos meses, nos lo estamos follando todos grandes en la Premier.",joke,2.25,
tweet218,Que bronca me dio esta serie,no-joke,,
tweet219,"#TengoQueReconocerQue si me caes mal, y te haces el simpático me caes muchísimo peor.",no-joke,,
tweet220,"Pepito define la palabra descanso
– Profesor, no sé lo que es.
– Una pista: qué hace tu papá después de trabajar?
– Eso quiere saber mi mamá",joke,3.25,misunderstanding
tweet221,"9 de cada 10 personas dicen que tú eres una puta, la otra es tu mamá que no lo dice, pero lo piensa.",joke,2.4,insults
tweet222,Mi sombra me dice que baje de peso o se va a la mierda y no la vuelvo a ver nunca más.,joke,1.6667,absurd
tweet223,"-Papá, ¿cómo conociste a mamá?
-Mira, los dos descargamos una app para atrapar monstruos y nos encontramos.
-Ah, Pokémon Go.
-No, Tinder.",joke,3.8,
tweet224,"–Extraño el olor de tu perfume.

–Te lo vendo.",no-joke,,
tweet225,"—Alguna ves has estado perdido? — Si —Dónde? —En tu mirada —Aawww ¿En serio? ♥  — Si como eres bizca, no sé donde putas estás mirando #xD",joke,1.4,
tweet226,"Me regala una #QuierohamburguesaYa  Pero sin Lycopersicon esculentum, por favor. 
—¿La quiere ""sin tomate""? 
—Eso, siempre olvida.",joke,1.6667,
tweet227,"-¿Qué haces en tu tiempo libre? Soy asesina en serie -¿En serio? -No, en serie",joke,3.6,
tweet228,me casé con un audio suyo,no-joke,,
tweet229,2 semanitassss💪,no-joke,,
tweet230,"He soñao en la siesta q sacaba un 8'2 en geografía, qué triste haberme despertado",no-joke,,
tweet231,"#TNdeNoche @TotyFlores la gente no se equivoca, por algo putean al presidente. Uds solos se hunden. Uds no defienden al pueblo",no-joke,,
tweet232,Esta la gente fracasada y después el,no-joke,,
tweet233,Las niñas bonitas tienen los ojos cafés.😬🙈,no-joke,,
tweet234,Ojalá hablar como Yuhui para justificar que nadie me entienda nunca,no-joke,,
tweet235,El cliente siempre tiene la razón que le hizo perder al vendedor.,joke,2.25,
tweet236,¡FELIZ NAVIDAD A TODOS! 🎄🎅🏻,no-joke,,
tweet237,"— Mama estoy Cansada... — ¿EMBARAZADA? condenada muchacha del demonio, te me vas de esta........ — Mama, dije ¡C.A.N.S.A.D.A.!",joke,1.0,misunderstanding
tweet238,Me mandas un mensaje cuando llegues.,no-joke,,
tweet239,Por que Peredo no algun Fujimori ?,no-joke,,
tweet240,"-Hijo que es eso de Twistter?
-Es un virus mamá, ni se te ocurra abrirlo.",joke,2.2,misunderstanding
tweet241,#Viña2018 Sólo me interesa #Europe y pare de contar...,no-joke,,
tweet242,Gracias por tanto Twitter,no-joke,,
tweet243,Voy a poner tu opinión en una caja de ahorro para ver si me genera algún interés,joke,3.25,
tweet244,"""Niell tiro del final te va a salir"".",no-joke,,
tweet245,Típico : Estar viajando en taxi y pensar tácticas de escape por si el taxista te quiere secuestrar.,joke,2.0,reference
tweet246,"Preguntas que siempre hago cuando termino de coger:

- ¿Terminaste?
- ¿Me amas?
- ¿Cuánto te debo?",joke,2.4,unmasking
tweet247,"—Te quiero, en el fondo...
—Aw ¡Yo también!
—¡En el fondo del mar!
—Pero yo pensé que...
—Fondo.
—Pero...
—Del mar
—Es que...
—Tiburones.",joke,1.6,
tweet248,"No hay mejor almohada, que dormir sobre una conciencia limpia,,",no-joke,,
tweet249,“Hundida hasta el fondo de las converse” 🙇🏽‍♀️,no-joke,,
tweet250,"De salidas con amigos se aprende un poco de todo. Somos policias, guardaespaldas, cupidos y hasta zapateros. Nada los amo 💛",no-joke,,
tweet251,Quiero ser el dueño total de mi puto tiempo,no-joke,,
tweet252,Dale un pez a un hombre y comerá un día; dale a tu cuerpo alegría Macarena y verás que tu cuerpo es pa' darle alegría y cosa buena.,joke,2.4,
tweet253,"Querido Colegio, necesitamos darnos un tiempo, no eres tú soy yo.",joke,1.5,
tweet254,"El amor que pudo morir, No era amor",no-joke,,
tweet255,"¿Sentimientos? Para que, ¿para que los hagan mierda? Mejor drogate, es más sano.",joke,1.5,exaggeration
tweet256,"Ama a quien te quiera por tu software, no por tu hardware. #fb",no-joke,,
